code_ins,date_debut,date_fin,nom_officiel_rn,nom_unique_etnic,actif
11001,1/01/0001,31/03/2014,AARTSELAAR,Aartselaar,N
11001,1/04/2014,,AARTSELAAR,Aartselaar,O
11002,1/01/0001,31/03/2014,ANTWERPEN,Antwerpen,N
11002,1/04/2014,,ANTWERPEN,Antwerpen,O
11003,1/01/1830,31/12/1982,BERCHEM,Berchem (ANTWERPEN),N
11004,1/01/0001,31/03/2014,BOECHOUT,Boechout,N
11004,1/04/2014,,BOECHOUT,Boechout,O
11005,1/01/0001,31/03/2014,BOOM,Boom,N
11005,1/04/2014,,BOOM,Boom,O
11006,1/01/1836,31/12/1982,BORGERHOUT,Borgerhout,N
11007,1/01/0001,31/03/2014,BORSBEEK,Borsbeek,N
11007,1/04/2014,,BORSBEEK,Borsbeek,O
11008,1/01/0001,31/03/2014,BRASSCHAAT,Brasschaat,N
11008,1/04/2014,,BRASSCHAAT,Brasschaat,O
11009,1/01/0001,31/03/2014,BRECHT,Brecht,N
11009,1/04/2014,,BRECHT,Brecht,O
11010,1/01/1830,31/12/1976,BROECHEM,Broechem,N
11011,1/01/1830,31/12/1976,BURCHT,Burcht,N
11012,1/01/1836,31/12/1982,DEURNE,Deurne (ANTWERPEN),N
11013,1/01/0001,31/03/2014,EDEGEM,Edegem,N
11013,1/04/2014,,EDEGEM,Edegem,O
11014,1/01/1830,31/12/1982,EKEREN,Ekeren,N
11015,1/01/1830,31/12/1976,EMBLEM,Emblem,N
11016,1/01/0001,31/03/2014,ESSEN,Essen,N
11016,1/04/2014,,ESSEN,Essen,O
11017,1/01/1830,31/12/1976,HALLE,Halle (ANTWERPEN),N
11018,1/01/0001,31/03/2014,HEMIKSEM,Hemiksem,N
11018,1/04/2014,,HEMIKSEM,Hemiksem,O
11019,1/01/1830,31/12/1982,HOBOKEN,Hoboken,N
11020,1/01/1865,31/12/1976,HOEVENEN,Hoevenen,N
11021,1/01/0001,31/03/2014,HOVE,Hove,N
11021,1/04/2014,,HOVE,Hove,O
11022,1/01/0001,31/03/2014,KALMTHOUT,Kalmthout,N
11022,1/04/2014,,KALMTHOUT,Kalmthout,O
11023,1/01/0001,31/03/2014,KAPELLEN,Kapellen (ANTWERPEN),N
11023,1/04/2014,,KAPELLEN,Kapellen (ANTWERPEN),O
11024,1/01/0001,31/03/2014,KONTICH,Kontich,N
11024,1/04/2014,,KONTICH,Kontich,O
11025,1/01/0001,31/03/2014,LINT,Lint,N
11025,1/04/2014,,LINT,Lint,O
11026,1/01/1830,31/12/1976,LOENHOUT,Loenhout,N
