code_ins,nom_officiel_rn,nom_unique_etnic,date_debut
11001,AARTSELAAR,Aartselaar,1/04/2014
11002,ANTWERPEN,Antwerpen,1/04/2014
11004,BOECHOUT,Boechout,1/04/2014
11005,BOOM,Boom,1/04/2014
11007,BORSBEEK,Borsbeek,1/04/2014
11008,BRASSCHAAT,Brasschaat,1/04/2014
11009,BRECHT,Brecht,1/04/2014
11013,EDEGEM,Edegem,1/04/2014
11016,ESSEN,Essen,1/04/2014
11018,HEMIKSEM,Hemiksem,1/04/2014
11021,HOVE,Hove,1/04/2014
11022,KALMTHOUT,Kalmthout,1/04/2014
11023,KAPELLEN,Kapellen (ANTWERPEN),1/04/2014
11024,KONTICH,Kontich,1/04/2014
11025,LINT,Lint,1/04/2014
11029,MORTSEL,Mortsel,1/04/2014
11030,NIEL,Niel,1/04/2014
11035,RANST,Ranst,1/04/2014
11037,RUMST,Rumst,1/04/2014
11038,SCHELLE,Schelle,1/04/2014
11039,SCHILDE,Schilde,1/04/2014
11040,SCHOTEN,Schoten,1/04/2014
11044,STABROEK,Stabroek,1/04/2014
11050,WIJNEGEM,Wijnegem,1/04/2014
11052,WOMMELGEM,Wommelgem,1/04/2014
11053,WUUSTWEZEL,Wuustwezel,1/04/2014
11054,ZANDHOVEN,Zandhoven,1/04/2014
11055,ZOERSEL,Zoersel,1/04/2014
11056,ZWIJNDRECHT,Zwijndrecht,1/04/2014
11057,MALLE,Malle,1/04/2014
11210,BRECHT (DISTRICT 2),Brecht (district 2),1/04/2014
11212,ANTWERPEN (BERENDRECHT),Antwerpen (Berendrecht),1/04/2014
11222,ANTWERPEN (ZANDVLIET),Antwerpen (Zandvliet),1/04/2014
11223,ANTWERPEN (BERENDRECHT-ZANDVLIET-LILLO),Antwerpen (Berendrecht-Zandvliet-Lillo),1/04/2014
11232,ANTWERPEN (BERCHEM),Antwerpen (Berchem),1/04/2014
11242,ANTWERPEN (BORGERHOUT),Antwerpen (Borgerhout),1/04/2014
11252,ANTWERPEN (DEURNE),Antwerpen (Deurne),1/04/2014
11262,ANTWERPEN (EKEREN),Antwerpen (Ekeren),1/04/2014
11272,ANTWERPEN (HOBOKEN),Antwerpen (Hoboken),1/04/2014
11282,ANTWERPEN (MERKSEM),Antwerpen (Merksem),1/04/2014
11292,ANTWERPEN (WILRIJK),Antwerpen (Wilrijk),1/04/2014
12002,BERLAAR,Berlaar,1/04/2014
12005,BONHEIDEN,Bonheiden,1/04/2014
12007,BORNEM,Bornem,1/04/2014
12009,DUFFEL,Duffel,1/04/2014
12014,HEIST-OP-DEN-BERG,Heist-op-den-Berg,1/04/2014
12021,LIER,Lier,1/04/2014
12025,MECHELEN,Mechelen,1/04/2014
12026,NIJLEN,Nijlen,1/04/2014
12029,PUTTE,Putte,1/04/2014
12035,SINT-KATELIJNE-WAVER,Sint-Katelijne-Waver,1/04/2014
12040,WILLEBROEK,Willebroek,1/04/2014
12041,PUURS-SINT-AMANDS,Puurs-Sint-Amands,1/01/2019
13001,ARENDONK,Arendonk,1/04/2014
13002,BAARLE-HERTOG,Baarle-Hertog,1/04/2014
13003,BALEN,Balen,1/04/2014
13004,BEERSE,Beerse,1/04/2014
13006,DESSEL,Dessel,1/04/2014
13008,GEEL,Geel,1/04/2014
13010,GROBBENDONK,Grobbendonk,1/04/2014
13011,HERENTALS,Herentals,1/04/2014
